                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0472,                 1.2625,                 1.3832,                0.60292,                0.50779,                0.51814,                0.36728,                 1.1306,                 1.3448,                 1.3775,               0.008317,               0.008317,               0.008317
                     36,                 1.0229,                 1.2398,                 1.3688,                 0.6099,                0.51045,                0.53069,                0.37599,                 1.1408,                  1.329,                 1.3765,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0274,                 1.2326,                 1.3661,                0.60664,                0.51318,                0.53495,                0.37776,                 1.1285,                 1.3259,                 1.3605,               0.008218,               0.008218,               0.008218
                     38,                 1.0055,                  1.214,                  1.356,                0.62656,                0.51165,                0.53595,                0.38078,                 1.1194,                 1.3271,                 1.3575,              0.0081685,              0.0081685,              0.0081685
                     39,                0.99603,                 1.2033,                 1.3429,                0.61211,                 0.5174,                0.54152,                0.38278,                  1.122,                 1.3099,                 1.3581,               0.008119,               0.008119,               0.008119
                     40,                 1.0022,                 1.2064,                 1.3521,                0.60735,                0.51542,                0.53553,                0.37805,                 1.1148,                 1.3187,                 1.3517,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0015,                 1.1959,                  1.344,                0.59903,                0.51493,                0.53637,                0.38089,                 1.1146,                 1.3126,                 1.3491,                0.00802,                0.00802,                0.00802
                     42,                 1.0016,                 1.1897,                 1.3484,                0.60305,                  0.526,                0.54143,                0.38431,                 1.1129,                 1.3002,                 1.3572,              0.0079705,              0.0079705,              0.0079705
                     43,                0.98969,                 1.1671,                 1.3349,                 0.6247,                0.51765,                0.54226,                0.38919,                 1.0992,                 1.2909,                 1.3461,               0.007921,               0.007921,               0.007921
                     44,                0.98897,                 1.1757,                 1.3345,                0.62226,                 0.5127,                0.54208,                0.38255,                 1.1079,                 1.3065,                 1.3423,              0.0078715,              0.0078715,              0.0078715
                     45,                0.98522,                 1.1593,                 1.3334,                0.61359,                0.52412,                0.54432,                0.38943,                 1.1028,                 1.2853,                 1.3411,               0.007822,               0.007822,               0.007822
                     46,                0.97585,                 1.1471,                 1.3267,                 0.6106,                0.52692,                 0.5431,                0.38751,                 1.0963,                 1.2872,                 1.3379,              0.0077725,              0.0077725,              0.0077725
                     47,                0.96572,                 1.1363,                 1.3234,                0.61645,                 0.5267,                0.54971,                0.39333,                 1.1011,                 1.2804,                 1.3434,               0.007723,               0.007723,               0.007723
                     48,                0.97135,                  1.138,                 1.3203,                0.61485,                0.54065,                0.55327,                0.39157,                  1.104,                 1.2704,                 1.3419,              0.0076735,              0.0076735,              0.0076735
                     49,                0.96268,                 1.1347,                 1.3223,                0.61118,                0.52035,                0.54687,                0.39062,                  1.093,                 1.2913,                 1.3401,               0.007624,               0.007624,               0.007624
                     50,                0.96965,                 1.1266,                 1.3171,                0.61376,                0.52668,                0.54943,                0.39248,                 1.0921,                 1.2706,                 1.3399,              0.0075745,              0.0075745,              0.0075745
                     51,                0.95229,                 1.1145,                 1.3089,                0.63392,                0.53486,                 0.5623,                0.40077,                 1.0948,                 1.2557,                  1.344,               0.007525,               0.007525,               0.007525
                     52,                0.95492,                 1.1058,                 1.3087,                  0.636,                0.52455,                0.55568,                0.39824,                 1.0902,                 1.2623,                 1.3317,              0.0074755,              0.0074755,              0.0074755
                     53,                0.94087,                 1.0976,                 1.2989,                0.63059,                0.53009,                 0.5568,                 0.3977,                 1.0963,                 1.2728,                  1.343,               0.007426,               0.007426,               0.007426
                     54,                 0.9418,                 1.0798,                 1.2987,                0.63153,                0.53671,                0.56241,                0.40259,                 1.0881,                 1.2611,                 1.3312,              0.0073765,              0.0073765,              0.0073765
                     55,                0.93378,                 1.0718,                 1.2947,                0.61475,                  0.536,                0.55558,                0.39804,                 1.0949,                 1.2607,                 1.3384,               0.007327,               0.007327,               0.007327
                     56,                0.93826,                 1.0821,                 1.2947,                0.63209,                0.52449,                0.55996,                0.40132,                 1.0792,                 1.2595,                 1.3243,              0.0072775,              0.0072775,              0.0072775
                     57,                0.93167,                 1.0702,                  1.294,                0.64078,                0.51968,                0.55836,                0.40052,                 1.0862,                  1.247,                 1.3331,               0.007228,               0.007228,               0.007228
                     58,                0.94175,                 1.0702,                 1.2965,                0.63327,                0.52635,                0.55634,                0.39793,                 1.0892,                 1.2633,                 1.3308,              0.0071785,              0.0071785,              0.0071785
                     59,                0.91633,                 1.0535,                 1.2837,                0.64349,                 0.5235,                0.56168,                0.40263,                 1.0846,                 1.2557,                 1.3283,               0.007129,               0.007129,               0.007129
                     60,                0.92628,                 1.0445,                 1.2813,                0.63628,                 0.5265,                0.56633,                0.40534,                 1.0796,                 1.2391,                 1.3296,              0.0070795,              0.0070795,              0.0070795
                     61,                0.92427,                 1.0438,                 1.2792,                0.62689,                0.53805,                0.56732,                0.40594,                 1.0852,                 1.2407,                   1.33,                0.00703,                0.00703,                0.00703
                     62,                0.91683,                 1.0319,                 1.2698,                0.62629,                0.53461,                0.56532,                0.40469,                 1.0782,                 1.2393,                 1.3255,              0.0069805,              0.0069805,              0.0069805
                     63,                0.91411,                 1.0371,                 1.2736,                0.61456,                0.54678,                0.56778,                0.40702,                 1.0785,                  1.239,                 1.3253,               0.006931,               0.006931,               0.006931
                     64,                0.90431,                 1.0113,                 1.2676,                0.61843,                0.53829,                0.56456,                0.40454,                 1.0828,                 1.2557,                 1.3285,              0.0068815,              0.0068815,              0.0068815
                     65,                0.90815,                 1.0175,                 1.2653,                0.61902,                0.53772,                 0.5612,                0.40311,                 1.0795,                 1.2509,                 1.3286,               0.006832,               0.006832,               0.006832
                     66,                0.89975,                 1.0075,                 1.2648,                0.64957,                0.52167,                0.56406,                0.40426,                 1.0809,                  1.244,                 1.3275,              0.0067825,              0.0067825,              0.0067825
                     67,                0.89651,                 1.0018,                 1.2639,                0.62871,                0.52882,                0.56331,                0.40637,                 1.0761,                 1.2495,                 1.3252,               0.006733,               0.006733,               0.006733
                     68,                0.88757,                0.99263,                 1.2613,                0.62069,                0.54314,                0.56401,                0.40401,                 1.0858,                  1.256,                 1.3327,              0.0066835,              0.0066835,              0.0066835
                     69,                0.89194,                0.98601,                 1.2594,                0.61931,                0.53896,                0.55999,                0.40095,                 1.0835,                  1.266,                 1.3315,               0.006634,               0.006634,               0.006634
                     70,                0.88913,                0.98095,                 1.2527,                0.63767,                 0.5236,                0.56028,                0.40506,                 1.0776,                  1.264,                 1.3251,              0.0065845,              0.0065845,              0.0065845
                     71,                0.88129,                0.96496,                 1.2494,                0.63717,                0.53168,                0.56685,                0.40828,                 1.0729,                 1.2582,                 1.3219,               0.006535,               0.006535,               0.006535
                     72,                0.87818,                0.97038,                 1.2484,                0.65132,                0.52102,                0.56547,                0.40526,                 1.0771,                 1.2569,                 1.3249,              0.0064855,              0.0064855,              0.0064855
                     73,                0.87911,                0.95716,                 1.2475,                0.64337,                0.52424,                0.56695,                0.40669,                 1.0788,                 1.2616,                 1.3227,               0.006436,               0.006436,               0.006436
                     74,                0.87179,                0.94596,                 1.2366,                0.62197,                0.54287,                0.56505,                0.40538,                 1.0669,                 1.2685,                  1.317,              0.0063865,              0.0063865,              0.0063865
                     75,                0.87596,                0.94348,                 1.2423,                0.63437,                 0.5398,                0.56797,                 0.4063,                 1.0694,                 1.2584,                 1.3193,               0.006337,               0.006337,               0.006337
                     76,                0.85722,                0.94135,                 1.2382,                0.62014,                0.54679,                0.56784,                0.40579,                 1.0716,                 1.2549,                 1.3241,              0.0062875,              0.0062875,              0.0062875
