                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.75099,                0.90073,                0.56881,                0.99012,                0.90287,                0.83722,                0.91194,                0.72539,                0.89532,                 0.8262,                0.90147,                0.64903,                0.81131,                0.92921,                 0.6693,                 1.0553,               0.008812,               0.008812,               0.008812
                     26,                0.73921,                0.89364,                0.56285,                0.98552,                0.89642,                0.88471,                0.92675,                 0.7295,                 0.8862,                0.87423,                0.91191,                0.66597,                0.81132,                0.91543,                0.60378,                 1.0599,              0.0087625,              0.0087625,              0.0087625
                     27,                0.73511,                0.87514,                0.55567,                0.98278,                0.92247,                0.86236,                0.92499,                0.73469,                0.91078,                0.85192,                0.91471,                0.65754,                 0.8124,                0.92809,                0.60792,                 1.0654,               0.008713,               0.008713,               0.008713
                     28,                0.72826,                0.87576,                0.54462,                0.97747,                0.90188,                0.87049,                0.92605,                0.74116,                0.88925,                0.86414,                0.91198,                0.65936,                0.82052,                0.91447,                0.59785,                 1.0689,              0.0086635,              0.0086635,              0.0086635
                     29,                0.72294,                0.87046,                0.53719,                0.97543,                0.90442,                0.87811,                0.92695,                0.74648,                0.90698,                0.86749,                0.91203,                 0.6645,                0.79421,                0.92078,                0.63791,                 1.0484,               0.008614,               0.008614,               0.008614
                     30,                0.71532,                0.86498,                0.53077,                0.97303,                0.88157,                0.89717,                0.92363,                0.73794,                0.87265,                 0.8882,                0.91441,                0.66523,                0.80725,                0.90413,                 0.6169,                 1.0652,              0.0085645,              0.0085645,              0.0085645
                     31,                0.70399,                0.84638,                0.51848,                0.96454,                0.92608,                0.89041,                0.93627,                0.75368,                0.91678,                0.88022,                0.92172,                 0.6708,                  0.795,                0.90598,                0.58481,                 1.0536,               0.008515,               0.008515,               0.008515
                     32,                0.70086,                0.84957,                0.51582,                0.96243,                0.86631,                0.91575,                0.92772,                0.75729,                0.85513,                0.91561,                0.91995,                0.67815,                0.78832,                0.90305,                 0.5713,                 1.0426,              0.0084655,              0.0084655,              0.0084655
                     33,                0.69711,                0.84236,                0.50807,                 0.9597,                0.90267,                0.89851,                0.93337,                 0.7521,                0.88939,                0.88763,                0.91895,                0.67277,                0.79115,                0.92145,                0.57212,                 1.0462,               0.008416,               0.008416,               0.008416
                     34,                0.69133,                0.83545,                 0.5014,                0.95632,                0.91116,                0.90644,                 0.9352,                0.75731,                0.91656,                  0.893,                0.92861,                0.67717,                0.79249,                0.89621,                0.56729,                 1.0496,              0.0083665,              0.0083665,              0.0083665
                     35,                0.68162,                0.82298,                0.49354,                0.95188,                0.89347,                0.90563,                0.93017,                0.75161,                0.89033,                0.90244,                0.92701,                0.67693,                0.78312,                0.89548,                0.56895,                 1.0457,               0.008317,               0.008317,               0.008317
                     36,                0.67747,                 0.8265,                0.48767,                0.94928,                0.89873,                0.90047,                 0.9308,                0.75597,                 0.8885,                0.89078,                0.92135,                0.67054,                0.79171,                0.91122,                0.57953,                 1.0542,              0.0082675,              0.0082675,              0.0082675
                     37,                0.66784,                0.80954,                0.47559,                0.94238,                0.90818,                0.90186,                0.93802,                0.76392,                0.89317,                0.88812,                0.92533,                0.67898,                0.77738,                0.90016,                 0.5802,                 1.0459,               0.008218,               0.008218,               0.008218
                     38,                0.65959,                0.80799,                 0.4743,                 0.9404,                0.91338,                0.90167,                0.93863,                0.76014,                0.90812,                 0.8974,                 0.9318,                0.68347,                0.77786,                0.90796,                0.56958,                 1.0482,              0.0081685,              0.0081685,              0.0081685
                     39,                0.66049,                0.80371,                0.47002,                0.94037,                0.91504,                0.91467,                0.93882,                0.76079,                0.89651,                0.91068,                0.92958,                0.69264,                0.77796,                0.89844,                0.55849,                 1.0482,               0.008119,               0.008119,               0.008119
                     40,                0.65225,                0.79903,                0.46318,                0.93687,                0.90776,                0.91789,                0.93917,                0.76453,                0.90247,                0.90491,                0.92799,                0.69421,                0.76937,                0.90071,                0.56722,                 1.0313,              0.0080695,              0.0080695,              0.0080695
                     41,                0.64849,                 0.7932,                0.46194,                 0.9366,                0.92233,                0.90655,                0.94142,                0.77607,                0.91721,                0.89799,                0.93146,                 0.6885,                 0.7803,                0.90593,                0.54143,                 1.0512,                0.00802,                0.00802,                0.00802
                     42,                0.64486,                0.78533,                0.45941,                0.93137,                 0.9085,                 0.9061,                 0.9357,                0.77534,                0.89377,                0.89254,                0.92179,                0.69083,                  0.768,                 0.9017,                0.55309,                 1.0322,              0.0079705,              0.0079705,              0.0079705
                     43,                0.63956,                 0.7829,                0.44879,                0.93038,                0.90404,                0.89949,                0.93757,                0.76817,                0.90282,                0.88963,                0.92916,                0.68189,                0.76548,                0.89807,                0.55322,                 1.0381,               0.007921,               0.007921,               0.007921
