                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1259,                 1.9269,                 1.0995,                 1.2902,                0.64492,                0.46361,                0.47717,                0.27655,                0.61535,                0.44061,                0.43515,                0.20129,                 1.5997,                 2.9006,                 1.6109,                 1.8995,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1068,                 1.8981,                 1.0638,                 1.2774,                0.66625,                 0.4736,                0.48975,                0.28055,                0.64483,                 0.4533,                 0.4519,                0.20258,                 1.6025,                 2.8617,                 1.5724,                   1.93,               0.008812,               0.008812,               0.008812
                     26,                 1.0951,                 1.8659,                 1.0509,                 1.2646,                0.52514,                0.47891,                0.47472,                0.26796,                0.50854,                0.45636,                0.43597,                0.19681,                 1.6373,                 2.9038,                 1.5591,                 1.9644,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.0754,                 1.8432,                 1.0178,                 1.2523,                0.63304,                0.48681,                0.48369,                0.27539,                0.63445,                0.45078,                 0.4514,                0.20101,                 1.6203,                 2.9685,                 1.5886,                 1.9425,               0.008713,               0.008713,               0.008713
                     28,                 1.0619,                 1.8182,                0.99974,                 1.2388,                 0.5378,                0.47169,                0.47805,                0.26964,                 0.5035,                0.44644,                0.43314,                0.19853,                 1.6381,                 3.0381,                 1.5737,                 1.9669,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.0465,                 1.7866,                0.98135,                 1.2255,                0.69093,                0.44409,                0.47007,                0.26329,                 0.6606,                0.42209,                0.42595,                0.18986,                 1.6461,                 3.0533,                 1.6449,                 1.9891,               0.008614,               0.008614,               0.008614
                     30,                 1.0274,                 1.7618,                0.95593,                 1.2129,                0.54315,                0.45591,                0.48114,                0.27546,                0.53368,                0.43374,                0.45025,                0.20526,                 1.6401,                 3.0441,                 1.6117,                  1.966,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0108,                 1.7382,                0.92697,                 1.1978,                0.50201,                0.46563,                0.45988,                0.25948,                0.48272,                0.44933,                 0.4224,                0.19073,                  1.674,                 3.1498,                 1.6405,                 2.0291,               0.008515,               0.008515,               0.008515
                     32,                0.99864,                 1.7163,                0.91409,                 1.1917,                0.51927,                0.48046,                0.47647,                0.27635,                0.61578,                0.45461,                0.43946,                0.20127,                 1.6423,                 3.0325,                 1.6531,                 1.9805,              0.0084655,              0.0084655,              0.0084655
                     33,                0.98171,                 1.6829,                0.89557,                  1.178,                0.51977,                0.47482,                0.47203,                0.27361,                0.54836,                0.42279,                 0.4322,                0.19538,                 1.6395,                 3.1275,                 1.6836,                 2.0004,               0.008416,               0.008416,               0.008416
                     34,                0.97399,                 1.6701,                0.87798,                 1.1682,                0.52905,                0.44706,                0.46182,                0.27171,                0.50708,                0.43175,                0.42275,                0.20135,                 1.6401,                 3.1345,                 1.6734,                 2.0119,              0.0083665,              0.0083665,              0.0083665
                     35,                 0.9584,                 1.6387,                 0.8582,                 1.1596,                0.52177,                 0.4675,                0.45666,                0.25987,                0.50584,                0.44768,                0.42123,                0.18247,                 1.6566,                 3.1631,                 1.6908,                 2.0222,               0.008317,               0.008317,               0.008317
                     36,                0.94869,                 1.6278,                0.85372,                 1.1554,                0.65162,                0.45839,                0.46723,                0.27207,                0.65265,                0.43589,                0.43827,                0.20096,                 1.6548,                 3.1496,                 1.6584,                 2.0173,              0.0082675,              0.0082675,              0.0082675
                     37,                0.93134,                 1.6015,                0.83514,                   1.14,                0.52898,                0.47249,                0.47755,                0.27635,                0.50759,                0.46174,                0.44362,                0.20376,                 1.6667,                 3.2547,                  1.648,                 2.0497,               0.008218,               0.008218,               0.008218
                     38,                0.91761,                 1.5837,                0.81127,                 1.1316,                0.53678,                0.45958,                0.47162,                0.27486,                0.51926,                0.44372,                 0.4382,                0.20083,                 1.6434,                 3.1519,                 1.6841,                 2.0061,              0.0081685,              0.0081685,              0.0081685
                     39,                0.91027,                 1.5641,                0.81351,                 1.1265,                0.55695,                0.46029,                0.47567,                0.28076,                0.54266,                0.44478,                0.44237,                0.21155,                 1.6343,                 3.2126,                  1.701,                 2.0028,               0.008119,               0.008119,               0.008119
                     40,                0.90323,                 1.5578,                0.80467,                 1.1192,                0.50967,                0.47672,                0.46333,                0.26974,                0.49082,                0.46163,                0.43236,                0.20062,                 1.6429,                 3.2405,                 1.6686,                 2.0381,              0.0080695,              0.0080695,              0.0080695
                     41,                0.89292,                 1.5391,                0.79025,                 1.1126,                0.68491,                0.45089,                0.47331,                0.27241,                0.68293,                0.43521,                0.44474,                0.20128,                 1.6529,                 3.2494,                 1.7033,                  2.069,                0.00802,                0.00802,                0.00802
                     42,                0.88201,                 1.5242,                0.77882,                 1.1067,                 0.5625,                0.45512,                0.46793,                0.27512,                0.56039,                0.43408,                0.43877,                0.20046,                  1.655,                 3.2948,                 1.7179,                 2.0491,              0.0079705,              0.0079705,              0.0079705
                     43,                0.87422,                 1.5022,                0.76544,                 1.0998,                 0.6519,                0.46242,                0.47559,                0.27725,                0.63686,                0.43904,                0.43389,                0.20015,                 1.6418,                 3.3204,                 1.7082,                 2.0591,               0.007921,               0.007921,               0.007921
                     44,                0.86419,                 1.4894,                 0.7504,                 1.0952,                0.64095,                0.47671,                0.47679,                 0.2776,                0.63451,                0.44463,                0.45063,                0.20939,                 1.6495,                  3.308,                 1.7346,                  2.051,              0.0078715,              0.0078715,              0.0078715
                     45,                0.85672,                 1.4707,                0.74359,                 1.0861,                0.65461,                0.46112,                0.46113,                 0.2706,                0.63194,                 0.4428,                0.42921,                0.20176,                 1.6635,                 3.3633,                 1.7626,                   2.09,               0.007822,               0.007822,               0.007822
                     46,                0.84455,                 1.4607,                0.73451,                 1.0798,                0.50348,                0.48112,                 0.4627,                0.27333,                 0.4888,                0.46747,                0.43752,                0.20389,                 1.6445,                 3.3751,                 1.7422,                 2.0815,              0.0077725,              0.0077725,              0.0077725
                     47,                0.83563,                 1.4488,                0.72666,                 1.0755,                0.55569,                0.45671,                 0.4737,                0.27731,                0.53589,                0.44496,                0.44449,                0.20714,                 1.6575,                 3.3808,                 1.7406,                  2.077,               0.007723,               0.007723,               0.007723
                     48,                0.82456,                 1.4232,                0.70977,                 1.0692,                0.67725,                0.44551,                0.46369,                0.27325,                0.66162,                0.43324,                0.44362,                0.20813,                 1.6434,                 3.3571,                 1.8052,                 2.0776,              0.0076735,              0.0076735,              0.0076735
                     49,                0.82341,                 1.4216,                0.71169,                 1.0673,                  0.671,                0.45981,                0.46238,                0.27079,                0.65329,                0.44743,                0.43693,                0.20575,                 1.6583,                 3.4754,                 1.7368,                 2.0951,               0.007624,               0.007624,               0.007624
                     50,                0.81431,                 1.3993,                0.69501,                 1.0582,                0.69548,                0.42418,                0.45914,                0.27009,                 0.6867,                0.41295,                0.43645,                0.20805,                 1.6589,                 3.4801,                  1.804,                 2.0948,              0.0075745,              0.0075745,              0.0075745
                     51,                0.80761,                 1.3897,                0.69082,                 1.0568,                0.56929,                 0.4542,                0.46275,                 0.2713,                0.54909,                0.44325,                0.43823,                0.20449,                 1.6694,                 3.4817,                 1.7973,                 2.1073,               0.007525,               0.007525,               0.007525
                     52,                0.79947,                 1.3817,                0.68629,                 1.0535,                0.68559,                0.45248,                0.46804,                 0.2738,                  0.678,                0.44582,                0.45017,                0.20549,                 1.6466,                 3.4315,                 1.8091,                 2.0996,              0.0074755,              0.0074755,              0.0074755
                     53,                0.79441,                 1.3682,                0.68059,                 1.0499,                0.67695,                0.44973,                0.46199,                0.27111,                0.66604,                0.44167,                 0.4421,                0.20684,                 1.6517,                 3.4918,                 1.8048,                 2.1016,               0.007426,               0.007426,               0.007426
                     54,                0.79046,                 1.3639,                0.68066,                 1.0446,                0.68316,                0.42419,                0.45333,                0.26785,                0.66917,                0.41414,                0.42649,                0.20596,                 1.6555,                 3.4936,                 1.8302,                 2.0944,              0.0073765,              0.0073765,              0.0073765
                     55,                0.77878,                 1.3353,                0.66404,                 1.0384,                0.67234,                0.42729,                0.45087,                0.26483,                0.65721,                0.41523,                0.43034,                0.20142,                  1.662,                 3.5533,                 1.8207,                 2.1193,               0.007327,               0.007327,               0.007327
                     56,                0.77029,                 1.3322,                0.65782,                 1.0369,                0.64372,                0.42813,                0.44934,                 0.2636,                0.63985,                0.41135,                0.42266,                0.19866,                 1.6599,                 3.5559,                 1.8197,                 2.1263,              0.0072775,              0.0072775,              0.0072775
                     57,                0.76666,                 1.3164,                 0.6565,                  1.032,                0.66696,                0.42866,                0.45521,                0.26709,                0.64392,                0.41488,                0.42391,                0.19617,                 1.6583,                 3.6078,                 1.8555,                 2.1293,               0.007228,               0.007228,               0.007228
                     58,                 0.7619,                 1.2997,                 0.6443,                 1.0273,                0.67706,                0.43504,                0.45929,                0.26999,                0.65837,                 0.4196,                0.43467,                0.19937,                 1.6533,                 3.5996,                 1.8856,                 2.1201,              0.0071785,              0.0071785,              0.0071785
                     59,                0.75781,                 1.3028,                0.64485,                 1.0232,                0.67426,                0.43527,                0.45433,                0.26751,                0.65985,                 0.4273,                0.42669,                0.20068,                 1.6524,                 3.6443,                 1.8893,                 2.1266,               0.007129,               0.007129,               0.007129
                     60,                0.75411,                 1.2943,                0.64124,                 1.0229,                0.68011,                0.44335,                0.46347,                0.27429,                0.66143,                0.43095,                0.42996,                 0.2042,                 1.6504,                 3.6525,                 1.8831,                 2.1333,              0.0070795,              0.0070795,              0.0070795
                     61,                0.74103,                  1.275,                0.63247,                 1.0166,                0.70314,                0.43312,                0.45938,                0.27361,                0.68802,                0.42217,                0.43197,                0.20241,                 1.6581,                   3.66,                 1.8887,                  2.138,                0.00703,                0.00703,                0.00703
                     62,                0.74754,                 1.2766,                0.63744,                 1.0192,                0.56962,                0.43064,                0.45684,                  0.273,                0.55251,                0.41847,                0.42702,                0.20097,                  1.652,                 3.6498,                 1.9056,                 2.1339,              0.0069805,              0.0069805,              0.0069805
