                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.58289,                0.97866,                0.49717,                0.92763,                0.69775,                  0.421,                0.46213,                0.27647,                0.67704,                0.40375,                0.42908,                0.20726,                 1.6472,                 4.1574,                 2.0552,                 2.2135,               0.004852,               0.004852,               0.004852
                    106,                0.58426,                0.97809,                0.49425,                0.92921,                0.69168,                0.42088,                0.46121,                0.27648,                0.67717,                0.40387,                0.42901,                0.20703,                 1.6479,                 4.1619,                 2.0543,                 2.2158,              0.0048025,              0.0048025,              0.0048025
                    107,                0.57595,                 0.9653,                0.48413,                 0.9266,                0.69386,                0.42042,                0.46131,                0.27625,                0.67776,                0.40338,                0.43069,                0.20616,                  1.647,                 4.1638,                 2.0568,                 2.2149,               0.004753,               0.004753,               0.004753
                    108,                0.57532,                 0.9565,                0.48625,                 0.9253,                0.58288,                0.41768,                0.45855,                0.27611,                0.67714,                0.39901,                0.42904,                0.20636,                 1.6459,                 4.1689,                 2.0572,                 2.2165,              0.0047035,              0.0047035,              0.0047035
                    109,                0.57221,                0.95398,                0.48263,                0.92344,                0.69394,                0.41783,                0.45875,                0.27548,                0.67962,                0.39889,                0.42887,                0.20606,                 1.6449,                 4.1765,                 2.0597,                 2.2136,               0.004654,               0.004654,               0.004654
                    110,                0.56626,                0.94583,                0.47887,                0.92245,                0.69532,                0.42117,                0.46219,                0.27551,                0.68053,                0.40286,                0.42973,                0.20548,                 1.6457,                 4.1784,                 2.0657,                 2.2137,              0.0046045,              0.0046045,              0.0046045
                    111,                 0.5681,                0.94145,                0.47524,                0.92057,                0.69921,                0.41862,                0.46169,                0.27644,                0.67209,                0.39803,                0.42625,                0.20496,                 1.6453,                 4.1813,                 2.0685,                 2.2145,               0.004555,               0.004555,               0.004555
                    112,                0.56316,                0.93899,                0.47954,                0.92093,                0.70236,                0.41662,                0.46086,                0.27675,                0.67159,                0.39715,                0.42465,                 0.2045,                 1.6449,                 4.1825,                 2.0701,                 2.2162,              0.0045055,              0.0045055,              0.0045055
                    113,                0.56115,                0.94386,                0.47832,                 0.9224,                0.70358,                0.41715,                0.46057,                0.27628,                0.67484,                0.39889,                0.42506,                0.20476,                 1.6454,                 4.1828,                 2.0748,                 2.2161,               0.004456,               0.004456,               0.004456
                    114,                0.55699,                0.93423,                0.47598,                0.91664,                0.70507,                0.41818,                0.46035,                0.27654,                0.67577,                 0.3994,                0.42369,                0.20398,                 1.6455,                 4.1857,                 2.0772,                 2.2178,              0.0044065,              0.0044065,              0.0044065
                    115,                 0.5546,                0.92756,                0.47287,                0.91656,                0.70567,                0.41842,                0.46086,                0.27703,                0.67579,                 0.4004,                0.42546,                0.20541,                 1.6448,                 4.1865,                 2.0799,                 2.2173,               0.004357,               0.004357,               0.004357
                    116,                0.55044,                0.91994,                0.47068,                0.91514,                0.70921,                 0.4157,                0.46013,                 0.2764,                0.67984,                0.39923,                0.42587,                0.20511,                 1.6447,                 4.1927,                 2.0827,                 2.2197,              0.0043075,              0.0043075,              0.0043075
                    117,                0.54945,                0.90834,                0.46639,                0.91508,                0.70905,                0.41621,                0.46004,                 0.2754,                0.68012,                0.39925,                0.42605,                0.20471,                 1.6451,                 4.1959,                 2.0871,                 2.2207,               0.004258,               0.004258,               0.004258
                    118,                0.54522,                0.91063,                0.46205,                0.91126,                0.70847,                0.41631,                0.46049,                0.27576,                0.68229,                0.39827,                0.42687,                0.20488,                 1.6466,                 4.2052,                 2.0922,                 2.2218,              0.0042085,              0.0042085,              0.0042085
                    119,                0.54554,                  0.908,                0.46621,                0.91163,                0.70789,                 0.4146,                0.46018,                0.27565,                0.67853,                0.39799,                0.42629,                0.20498,                 1.6468,                 4.2096,                 2.0945,                 2.2227,               0.004159,               0.004159,               0.004159
                    120,                0.54526,                0.90811,                0.46942,                0.91351,                0.70756,                 0.4138,                0.46089,                 0.2772,                0.67699,                0.39637,                0.42637,                0.20506,                 1.6458,                 4.2153,                 2.0985,                 2.2214,              0.0041095,              0.0041095,              0.0041095
                    121,                0.53655,                0.89853,                0.46252,                0.90862,                0.70807,                 0.4133,                0.46103,                0.27672,                 0.6784,                0.39538,                0.42804,                0.20575,                 1.6462,                 4.2165,                 2.1036,                 2.2214,                0.00406,                0.00406,                0.00406
                    122,                0.53891,                0.89296,                0.46079,                 0.9096,                0.70767,                0.41223,                0.46126,                0.27707,                0.67796,                0.39512,                0.42825,                0.20597,                 1.6449,                 4.2238,                 2.1079,                 2.2201,              0.0040105,              0.0040105,              0.0040105
                    123,                0.53523,                0.88912,                0.45761,                0.90678,                0.70766,                0.41012,                0.45907,                0.27647,                0.68208,                0.39538,                 0.4289,                0.20613,                 1.6442,                 4.2257,                 2.1099,                 2.2197,               0.003961,               0.003961,               0.003961
                    124,                0.52813,                0.87194,                0.45219,                 0.9052,                0.70832,                0.41087,                0.46001,                0.27688,                0.68188,                0.39527,                0.42878,                0.20582,                 1.6438,                  4.232,                 2.1119,                 2.2202,              0.0039115,              0.0039115,              0.0039115
                    125,                0.52673,                0.87121,                0.45111,                0.90519,                0.71174,                0.41195,                0.46004,                0.27699,                0.68221,                 0.3959,                0.42747,                0.20578,                 1.6431,                 4.2341,                 2.1156,                 2.2196,               0.003862,               0.003862,               0.003862
                    126,                0.52769,                0.87202,                 0.4485,                0.90452,                0.71012,                0.41351,                0.45887,                0.27559,                 0.6804,                0.39673,                0.42698,                0.20496,                 1.6421,                 4.2403,                 2.1201,                 2.2189,              0.0038125,              0.0038125,              0.0038125
                    127,                0.52447,                0.86773,                  0.447,                0.90297,                0.70399,                0.41425,                0.45671,                0.27568,                0.67637,                0.39909,                0.42651,                0.20446,                 1.6419,                 4.2459,                 2.1225,                 2.2196,               0.003763,               0.003763,               0.003763
                    128,                 0.5195,                0.85946,                0.45005,                0.90158,                0.70491,                0.41469,                0.45695,                0.27547,                0.67785,                 0.3986,                0.42689,                0.20436,                 1.6418,                 4.2457,                  2.127,                 2.2193,              0.0037135,              0.0037135,              0.0037135
                    129,                0.51761,                0.85784,                 0.4459,                 0.9004,                0.59573,                 0.4144,                0.45622,                0.27544,                0.56888,                0.40002,                0.42817,                0.20479,                 1.6416,                 4.2494,                 2.1303,                 2.2196,               0.003664,               0.003664,               0.003664
                    130,                  0.517,                0.85929,                0.44453,                0.89969,                0.59423,                0.41355,                0.45622,                0.27624,                0.67886,                 0.3991,                0.42711,                 0.2053,                 1.6409,                 4.2556,                 2.1333,                 2.2193,              0.0036145,              0.0036145,              0.0036145
                    131,                 0.5135,                0.85479,                0.44228,                 0.8992,                0.70867,                0.41236,                0.45706,                0.27639,                0.68079,                0.39812,                0.42809,                0.20611,                 1.6394,                 4.2551,                 2.1364,                 2.2184,               0.003565,               0.003565,               0.003565
                    132,                0.50906,                0.84413,                0.44025,                0.89692,                0.70752,                0.41029,                0.45582,                0.27579,                0.68214,                0.39517,                0.42735,                0.20568,                 1.6392,                 4.2632,                 2.1417,                 2.2183,              0.0035155,              0.0035155,              0.0035155
                    133,                0.51063,                0.84446,                 0.4406,                0.89907,                0.70894,                0.40739,                0.45496,                0.27496,                0.68386,                  0.393,                0.42772,                0.20533,                 1.6386,                 4.2668,                 2.1462,                 2.2195,               0.003466,               0.003466,               0.003466
                    134,                 0.5016,                0.82937,                0.43174,                 0.8953,                0.59591,                0.40892,                0.45465,                0.27488,                0.68294,                0.39356,                0.42764,                0.20571,                 1.6386,                 4.2721,                 2.1518,                 2.2201,              0.0034165,              0.0034165,              0.0034165
                    135,                0.50543,                0.83233,                0.43148,                 0.8968,                0.70921,                0.40669,                0.45471,                 0.2747,                0.68738,                0.39285,                0.42745,                 0.2054,                 1.6377,                  4.277,                 2.1575,                 2.2197,               0.003367,               0.003367,               0.003367
                    136,                0.50183,                0.82456,                0.43328,                0.89426,                0.70584,                0.40388,                0.45503,                0.27492,                0.68239,                0.39004,                0.42812,                0.20518,                 1.6375,                 4.2802,                 2.1614,                 2.2196,              0.0033175,              0.0033175,              0.0033175
                    137,                0.50075,                0.82289,                0.43139,                0.89409,                0.70828,                0.40483,                0.45503,                0.27488,                0.68264,                0.38934,                 0.4287,                 0.2058,                 1.6365,                 4.2821,                 2.1655,                 2.2188,               0.003268,               0.003268,               0.003268
                    138,                0.49142,                0.81359,                0.42471,                0.89015,                0.70762,                0.40586,                0.45469,                0.27476,                0.68198,                0.38992,                0.42776,                0.20575,                 1.6361,                 4.2887,                 2.1722,                 2.2184,              0.0032185,              0.0032185,              0.0032185
                    139,                0.49269,                0.81608,                0.42804,                0.89131,                0.70718,                0.40377,                0.45483,                0.27509,                0.68041,                 0.3875,                0.42737,                0.20614,                 1.6353,                 4.2892,                 2.1782,                  2.218,               0.003169,               0.003169,               0.003169
