                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  3.035,                 3.9349,                 3.4426,                0.51411,                0.02669,                0.00824,                0.00234,                 3.1651,                 4.8148,                 3.6964,             0.00056086,             0.00056086,             0.00056086
                     35,                   2.95,                 3.8079,                 3.3876,                0.51851,                0.02316,                0.00901,                0.00218,                 3.1419,                 4.5022,                 3.6285,             0.00055261,             0.00055261,             0.00055261
                     36,                 2.8655,                 3.7623,                 3.3851,                0.34955,                0.02592,                0.00677,                0.00217,                 3.0643,                 4.2543,                  3.561,             0.00054437,             0.00054437,             0.00054437
                     37,                  2.918,                 3.7719,                 3.4214,                0.17597,                0.04477,                0.00664,                0.00198,                 2.9862,                 4.2673,                  3.532,             0.00053612,             0.00053612,             0.00053612
                     38,                 2.8563,                 3.7758,                 3.3616,                0.17884,                0.07518,                0.00833,                0.00227,                 2.8691,                 4.1813,                 3.5147,             0.00052787,             0.00052787,             0.00052787
                     39,                 2.8577,                 3.6923,                 3.3706,                0.52741,                0.04824,                0.01247,                0.00282,                 2.9916,                 4.1482,                 3.4828,             0.00051963,             0.00051963,             0.00051963
                     40,                 2.8584,                 3.6397,                 3.3266,                0.55686,                0.03992,                0.01359,                0.00356,                 3.0375,                 4.0898,                 3.4932,             0.00051138,             0.00051138,             0.00051138
                     41,                 2.8818,                 3.6828,                  3.343,                 0.5276,                0.03491,                0.01566,                 0.0041,                 3.0238,                 4.0066,                 3.4709,             0.00050313,             0.00050313,             0.00050313
                     42,                 2.8293,                 3.7112,                 3.3265,                0.36876,                0.03491,                0.01919,                  0.005,                 2.9647,                 3.9329,                  3.417,             0.00049489,             0.00049489,             0.00049489
                     43,                 2.8107,                 3.6409,                 3.2361,                0.67664,                0.02941,                0.01963,                0.00461,                 2.9347,                 3.9782,                 3.3838,             0.00048664,             0.00048664,             0.00048664
                     44,                 2.8368,                 3.7427,                   3.27,                0.51812,                0.03627,                0.01202,                0.00338,                 2.8357,                 3.9809,                 3.3602,             0.00047839,             0.00047839,             0.00047839
                     45,                 2.8068,                 3.6615,                 3.2363,                0.18374,                0.02902,                0.01526,                0.00377,                 2.8168,                 3.9389,                 3.3426,             0.00047015,             0.00047015,             0.00047015
                     46,                  2.831,                 3.5642,                 3.2147,                0.04526,                0.02647,                 0.0225,                0.00546,                  2.816,                 3.8262,                 3.3045,              0.0004619,              0.0004619,              0.0004619
                     47,                 2.7146,                 3.5981,                 3.2058,                0.19377,                0.02275,                 0.0221,                0.00552,                 2.8241,                 3.7419,                  3.301,             0.00045365,             0.00045365,             0.00045365
                     48,                 2.7569,                 3.5361,                 3.1845,                0.51716,                0.04865,                0.01999,                0.00507,                 2.8295,                 3.8026,                 3.3167,             0.00044541,             0.00044541,             0.00044541
                     49,                 2.7603,                 3.5967,                 3.2107,                0.69173,                0.04982,                0.02588,                0.00569,                 2.7982,                 3.7957,                 3.2999,             0.00043716,             0.00043716,             0.00043716
                     50,                 2.6552,                 3.5138,                 3.1398,                  0.852,                0.03922,                0.03466,                0.00779,                 2.7152,                 3.7326,                 3.2802,             0.00042891,             0.00042891,             0.00042891
                     51,                 2.7188,                 3.4726,                  3.165,                 0.5147,                0.04216,                0.04213,                0.01124,                 2.6997,                 3.6408,                 3.2511,             0.00042066,             0.00042066,             0.00042066
                     52,                 2.6389,                 3.4979,                 3.1086,                0.51556,                0.04786,                 0.0347,                 0.0092,                 2.7687,                 3.6721,                 3.2504,             0.00041242,             0.00041242,             0.00041242
                     53,                 2.7479,                 3.4888,                 3.1252,                0.53526,                0.04408,                0.03507,                0.00903,                 2.7899,                  3.731,                 3.2483,             0.00040417,             0.00040417,             0.00040417
                     54,                 2.7227,                 3.5167,                 3.1032,                0.58996,                0.07277,                0.04027,                0.01019,                 2.7913,                 3.6845,                   3.22,             0.00039592,             0.00039592,             0.00039592
                     55,                 2.7045,                  3.394,                  3.081,                0.39632,                0.05866,                0.03546,                0.01004,                 2.7666,                 3.7049,                 3.2408,             0.00038768,             0.00038768,             0.00038768
                     56,                 2.6942,                 3.3549,                 3.0805,                0.42659,                0.05554,                0.03341,                0.00995,                 2.7757,                 3.6187,                 3.2431,             0.00037943,             0.00037943,             0.00037943
                     57,                 2.6915,                 3.4012,                 3.0758,                0.40695,                 0.0528,                0.02708,                0.00881,                 2.7734,                 3.6204,                 3.2408,             0.00037118,             0.00037118,             0.00037118
