                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2857,                0.95573,                 1.6305,                0.56458,                0.57189,                0.51821,                0.22117,                 2.1224,                 1.5347,                 2.8261,               0.008317,               0.008317,               0.008317
                     36,                 1.2833,                0.95011,                 1.6236,                 0.5032,                0.58878,                0.51897,                 0.2245,                 2.1284,                 1.5436,                 2.7532,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2505,                0.91713,                 1.5997,                0.57247,                0.52744,                0.52951,                0.23235,                 2.1339,                 1.5218,                 2.7992,               0.008218,               0.008218,               0.008218
                     38,                 1.2514,                0.89907,                 1.5972,                0.53049,                 0.5506,                0.50621,                0.22281,                 2.1488,                 1.5737,                 2.8448,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.216,                0.88403,                 1.5742,                0.51442,                0.49849,                0.48996,                 0.2112,                 2.1417,                 1.5683,                 2.8576,               0.008119,               0.008119,               0.008119
                     40,                 1.2083,                 0.8712,                 1.5515,                0.52617,                 0.5711,                0.53108,                0.22603,                 2.1546,                 1.5512,                  2.832,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1778,                0.84993,                 1.5351,                0.53476,                0.58401,                0.53076,                0.22178,                 2.1567,                 1.5111,                  2.997,                0.00802,                0.00802,                0.00802
                     42,                 1.1649,                0.82164,                 1.5069,                0.50569,                0.59578,                0.49505,                0.22655,                 2.1646,                 1.5208,                 2.9273,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1488,                0.81038,                 1.5063,                0.53849,                0.56397,                0.49023,                0.20605,                 2.2538,                 1.5288,                 3.0505,               0.007921,               0.007921,               0.007921
                     44,                 1.1462,                0.82425,                 1.5106,                0.50251,                0.56738,                0.50739,                 0.2126,                 2.1949,                 1.4568,                 3.0015,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1323,                 0.8036,                 1.4846,                0.45714,                0.57697,                0.47919,                0.20522,                 2.2195,                 1.4905,                 3.0445,               0.007822,               0.007822,               0.007822
                     46,                 1.1068,                0.78862,                 1.4694,                0.50152,                0.56636,                0.50111,                0.22313,                 2.1828,                 1.5542,                  3.019,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1024,                0.78041,                 1.4685,                0.53195,                0.49128,                0.47161,                0.21694,                 2.1745,                 1.5619,                 3.0695,               0.007723,               0.007723,               0.007723
                     48,                  1.082,                0.76169,                 1.4463,                0.54426,                0.50004,                0.48761,                0.21685,                 2.1751,                 1.5687,                 3.0268,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0652,                0.74304,                 1.4228,                0.57462,                0.55307,                0.52831,                0.21867,                 2.1801,                 1.5269,                 3.0311,               0.007624,               0.007624,               0.007624
                     50,                 1.0541,                0.75199,                 1.4131,                 0.5123,                0.56138,                0.46976,                0.20338,                 2.2292,                 1.5081,                 3.1141,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0491,                0.73444,                 1.4126,                0.51631,                 0.5572,                0.49819,                0.22243,                 2.2103,                 1.6005,                 3.0808,               0.007525,               0.007525,               0.007525
                     52,                 1.0116,                0.71104,                 1.3788,                0.51131,                0.61524,                0.53583,                0.22651,                 2.1812,                 1.4459,                  3.017,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0062,                0.70816,                 1.3791,                0.52691,                0.51015,                0.46988,                 0.2132,                 2.1761,                 1.5871,                 3.1483,               0.007426,               0.007426,               0.007426
                     54,                0.99864,                0.69861,                 1.3646,                0.58364,                 0.5231,                0.50806,                0.22492,                  2.152,                 1.5104,                    3.1,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0056,                0.71226,                 1.3809,                0.51707,                0.56101,                0.48124,                0.20516,                 2.2049,                 1.5028,                 3.1782,               0.007327,               0.007327,               0.007327
                     56,                0.98835,                0.68384,                 1.3537,                0.50363,                0.52392,                0.47209,                0.21548,                 2.2017,                 1.5677,                 3.1111,              0.0072775,              0.0072775,              0.0072775
                     57,                0.96813,                0.67622,                 1.3441,                0.54398,                0.52012,                0.48186,                0.21801,                 2.1962,                 1.5056,                 3.1809,               0.007228,               0.007228,               0.007228
                     58,                0.96118,                0.67349,                  1.341,                0.51509,                0.55534,                    0.5,                 0.2036,                 2.2346,                 1.5866,                 3.1369,              0.0071785,              0.0071785,              0.0071785
                     59,                 0.9306,                0.65297,                 1.3072,                0.47207,                0.54515,                0.48509,                0.22422,                 2.1657,                 1.6134,                 2.9875,               0.007129,               0.007129,               0.007129
                     60,                 0.9453,                0.66533,                 1.3203,                0.48117,                0.56397,                0.48029,                 0.2187,                 2.2016,                 1.5728,                 3.1123,              0.0070795,              0.0070795,              0.0070795
                     61,                0.92093,                 0.6399,                 1.3025,                0.51692,                 0.5231,                0.49845,                0.22361,                 2.2597,                 1.5056,                  3.393,                0.00703,                0.00703,                0.00703
                     62,                0.90823,                0.63161,                 1.2908,                0.53315,                0.52506,                0.49024,                0.22101,                 2.1745,                 1.5774,                  3.173,              0.0069805,              0.0069805,              0.0069805
                     63,                0.91611,                0.63925,                 1.2971,                0.56942,                0.52833,                0.50888,                0.22361,                 2.1862,                 1.5419,                 3.1722,               0.006931,               0.006931,               0.006931
                     64,                0.89896,                0.63888,                  1.284,                0.48598,                0.57697,                0.50804,                0.21243,                 2.2168,                 1.5673,                 3.2235,              0.0068815,              0.0068815,              0.0068815
                     65,                 0.8898,                0.63413,                 1.2774,                0.55456,                 0.5322,                0.50847,                0.22168,                 2.1471,                 1.5687,                 3.1235,               0.006832,               0.006832,               0.006832
                     66,                0.88378,                0.61665,                 1.2805,                0.49678,                0.57179,                0.47636,                0.21543,                 2.1915,                  1.538,                 3.1495,              0.0067825,              0.0067825,              0.0067825
                     67,                0.87115,                0.60557,                 1.2532,                0.49504,                0.56719,                0.50033,                0.21781,                 2.1803,                 1.6051,                 3.1965,               0.006733,               0.006733,               0.006733
                     68,                0.87569,                0.60304,                 1.2561,                0.56444,                0.58542,                0.52605,                0.21877,                 2.1642,                  1.588,                 3.1781,              0.0066835,              0.0066835,              0.0066835
                     69,                0.85427,                0.59902,                 1.2459,                0.55342,                0.51729,                0.50491,                 0.2195,                 2.1988,                 1.5964,                 3.2686,               0.006634,               0.006634,               0.006634
                     70,                0.83891,                0.58569,                 1.2367,                0.52471,                0.52765,                0.49053,                0.20846,                 2.2234,                 1.5587,                 3.2975,              0.0065845,              0.0065845,              0.0065845
                     71,                0.83846,                0.58789,                 1.2325,                0.51916,                0.56104,                0.49566,                 0.2129,                 2.2135,                 1.5872,                 3.3159,               0.006535,               0.006535,               0.006535
                     72,                0.82984,                0.58392,                 1.2266,                0.52493,                0.47252,                0.46936,                0.20672,                 2.2576,                 1.7112,                  3.428,              0.0064855,              0.0064855,              0.0064855
                     73,                0.82451,                0.57849,                 1.2269,                0.51522,                0.55683,                0.49723,                0.21214,                 2.2525,                 1.4835,                  3.453,               0.006436,               0.006436,               0.006436
                     74,                 0.8204,                0.57789,                 1.2196,                0.49781,                0.52633,                0.45266,                 0.2078,                 2.2669,                 1.5376,                 3.5194,              0.0063865,              0.0063865,              0.0063865
                     75,                0.81606,                0.56865,                 1.2146,                0.49879,                0.50233,                0.45872,                0.20166,                 2.2381,                 1.6379,                 3.3797,               0.006337,               0.006337,               0.006337
                     76,                0.81361,                0.56875,                 1.2127,                 0.5457,                0.55815,                0.51522,                0.21715,                 2.2231,                 1.5872,                 3.3017,              0.0062875,              0.0062875,              0.0062875
                     77,                0.79475,                 0.5577,                 1.1988,                0.55112,                0.52179,                0.47909,                0.20573,                 2.2516,                 1.6246,                 3.3853,               0.006238,               0.006238,               0.006238
                     78,                0.78222,                0.54378,                 1.1898,                0.53506,                0.51729,                 0.4635,                0.21834,                 2.2315,                 1.6186,                 3.4168,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.7867,                0.55333,                 1.1889,                0.53855,                0.54365,                 0.4687,                0.21264,                 2.2255,                 1.6404,                 3.3428,               0.006139,               0.006139,               0.006139
                     80,                0.78206,                0.54804,                 1.1884,                0.50483,                 0.5147,                0.46726,                0.21339,                 2.2327,                 1.6362,                  3.375,              0.0060895,              0.0060895,              0.0060895
                     81,                0.76788,                 0.5371,                  1.181,                0.47538,                0.55815,                0.48421,                0.22102,                 2.2079,                 1.6489,                 3.3357,                0.00604,                0.00604,                0.00604
                     82,                0.76108,                 0.5375,                 1.1738,                0.49139,                0.52701,                0.47174,                 0.2123,                 2.2461,                 1.6749,                 3.4497,              0.0059905,              0.0059905,              0.0059905
                     83,                0.76544,                0.53737,                 1.1698,                0.54285,                0.53415,                0.49358,                0.20768,                 2.2628,                 1.5948,                 3.4304,               0.005941,               0.005941,               0.005941
                     84,                0.76127,                0.52843,                 1.1787,                 0.5266,                0.52679,                0.47982,                0.21573,                 2.1998,                 1.5566,                 3.3209,              0.0058915,              0.0058915,              0.0058915
                     85,                 0.7459,                0.52355,                 1.1612,                0.49954,                0.54647,                0.46797,                0.19943,                 2.2495,                 1.6122,                 3.4726,               0.005842,               0.005842,               0.005842
